Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Streebog-256,Streebog-512,Description
Library,,,,,@codemirror,lang-jinja,6.0.0,optional,MIT,,,,pkg:npm/%40codemirror/lang-jinja@6.0.0,,,,,,,,,,,,,,,e3b305991711f1403177c0d1795823ed624dd56480313ece2677b0c2e8193385e21d690e8e0250aaf10cd4da4c8fd00b30fcb19a5ce2108d68a47f48684be66b,,,,,,,,,,
Library,,,,,@codemirror,lang-json,6.0.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-json@6.0.2,,,,,,,,,,,,,,,c763ad3be02fc041eb130474172c8fb5f0d48a5a06deb9d54d2655d56f14b5e68b2fcfcc6a341df03a6f51bd985730befd3d7c6920efd07f66bbec70d044ada1,,,,,,,,,,
Library,,,,,@lezer,json,1.0.3,optional,MIT,,,,pkg:npm/%40lezer/json@1.0.3,,,,,,,,,,,,,,,04ff4acdd17d637e4f0e9bf4e2bd157924ca0dea31e6f56bdde7c4ede05bc77af8b37a0d2dfba77217a36618c0ae67a27811fe9d53a9808881269100bfc8a5a9,,,,,,,,,,
Library,,,,,@codemirror,lang-less,6.0.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-less@6.0.2,,,,,,,,,,,,,,,1187504c6db657e294524f10ab9f3683b14c9c265e107b32b8e262b0745fb7f990f99499db0e7536ea6f0d41e2aadb0ecbb22de5c1cb3c67c740ba4c87d6eaa5,,,,,,,,,,
Library,,,,,@codemirror,lang-liquid,6.3.1,optional,MIT,,,,pkg:npm/%40codemirror/lang-liquid@6.3.1,,,,,,,,,,,,,,,4bf8c4fc3ee28a3d8fbbbd000bae4c13a0185b138e717db471226f68f818e70ee6dac7f1b00ac071402e5209bf0990959aaa22f4a88e952ee08ff8322e2a4007,,,,,,,,,,
Library,,,,,@codemirror,lang-markdown,6.5.0,optional,MIT,,,,pkg:npm/%40codemirror/lang-markdown@6.5.0,,,,,,,,,,,,,,,d0ae346d9df98e91f26ba16b8ae91b81a95e6aacc12d97ce87b1eecea6ccc415e46d83090f17c5dfd736df13a0c457b347edc6fad476fccba9f9793ceb938cbf,,,,,,,,,,
Library,,,,,@lezer,markdown,1.6.3,optional,MIT,,,,pkg:npm/%40lezer/markdown@1.6.3,,,,,,,,,,,,,,,8e91a6e4fb3e5c4ad2fb1038babc3ba2010691e64e6a1550176d59ea8102174b23fb6962c19a29776f88f2e1f923fbd9b11baecdedcec4144420034b7fa28a53,,,,,,,,,,
Library,,,,,@codemirror,lang-php,6.0.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-php@6.0.2,,,,,,,,,,,,,,,64acb6bf59fc15cf281178f44e1d0f50c5f3409d00211e9369953e3db0c713117076efa0bb3380e239821d2d4dcf8bdb15ecf00fb2f205d0e775d48979270c08,,,,,,,,,,
Library,,,,,@lezer,php,1.0.5,optional,MIT,,,,pkg:npm/%40lezer/php@1.0.5,,,,,,,,,,,,,,,5bb6aca7d0e133aab45ba0d83702242d228ebf195746b89ff945c1331cec254baa9a113ba1553e812dd31cee12fcfba1ed7ce09bce7c50d6858ba7714cff1d24,,,,,,,,,,
Library,,,,,@codemirror,lang-rust,6.0.2,optional,MIT,,,,pkg:npm/%40codemirror/lang-rust@6.0.2,,,,,,,,,,,,,,,1196868c251e82d894ee448cbce7c466968245ea3011fdf2362758bbbfaf7ee1939bda30e26b610296ab639862b09a8e1e6268c151f7529bbe7899548e2eaaa8,,,,,,,,,,
